Key,Id,Korean (South Korea)(ko-KR),English(en)
ui.hud.year,,년,Year
ui.hud.month,,월,Month
ui.hud.day,,일,Day
ui.hud.time,,시간,Time
ui.placement.confirm,,배치,Place
ui.placement.cancel,,취소,Cancel
ui.placement.rotate,,회전,Rotate
ui.placement.cannotPlace,,여기에 배치할 수 없습니다,Cannot place here
ui.staff.cook,,요리사,Cook
ui.staff.server,,서버,Server
ui.staff.rider,,라이더,Rider
ui.staff.hire,,고용,Hire
ui.staff.fire,,해고,Fire
ui.staff.grade,,등급,Grade
ui.staff.salary,,월급,Salary
ui.staff.tenure,,근속,Tenure
ui.staff.upgrade,,승급,Promote
ui.marketing.title,,마케팅,Marketing
ui.marketing.apply,,적용,Apply
ui.marketing.satisfactionCost,,만족도 비용,Satisfaction Cost
ui.marketing.duration,,기간,Duration
ui.expansion.title,,확장,Expansion
ui.expansion.expand,,확장하기,Expand
ui.expansion.cost,,확장 비용,Expansion Cost
ui.expansion.maxed,,더 이상 확장할 수 없습니다,Fully expanded
ui.ranking.title,,연말 결산,Year End Result
ui.ranking.revenue,,매출,Revenue
ui.ranking.score,,점수,Score
ui.ranking.rank,,순위,Rank
ui.ranking.notQualified,,순위권 외,Out of ranking
ui.settings.title,,설정,Settings
ui.settings.language,,언어,Language
ui.settings.sound,,사운드,Sound
ui.settings.bgm,,배경음악,BGM
ui.settings.sfx,,효과음,SFX
ui.settings.reset,,초기화,Reset
ui.info.title,,정보,Info
ui.info.version,,버전,Version
ui.info.credits,,크레딧,Credits
msg.gameStart,,영업 시작,Day Started
msg.gameEnd,,영업 종료,Day Ended
msg.notEnoughMoney,,돈이 부족합니다,Not enough money
msg.notEnoughSatisfaction,,만족도가 부족합니다,Not enough satisfaction
msg.unlocked,,해금되었습니다,Unlocked!
msg.purchased,,구매했습니다,Purchased
msg.saved,,저장되었습니다,Saved
msg.error,,오류가 발생했습니다,An error occurred
marketing.test,,테스트 마케팅,Test Marketing
marketing.test.desc,,테스트용 마케팅 캠페인입니다,Marketing campaign for testing
marketing.flyer,,전단지,Flyer
marketing.flyer.desc,,일정 기간 손님 유입을 늘립니다,Increases customer flow for a period
marketing.snsAd,,SNS 광고,SNS Ad
marketing.snsAd.desc,,SNS 광고로 큰 유입 증가,Large flow boost via SNS ad
marketing.tvAd,,TV 광고,TV Ad
marketing.tvAd.desc,,TV 광고로 광범위한 유입 증가,Wide flow boost via TV ad
expansion.hall1,,홀 확장 1,Hall Expansion 1
expansion.hall2,,홀 확장 2,Hall Expansion 2
expansion.kitchen1,,주방 확장 1,Kitchen Expansion 1
expansion.riderRoom,,라이더룸 확장,Rider Room Expansion
expansion.stage1,,드라이브 쓰루 개점,Drive Thru Opening
expansion.stage1.desc,,드라이브 쓰루 창구를 설치할 수 있게 됩니다,Unlocks Drive Thru order and pickup windows
expansion.stage2,,2층 개방,Second Floor Opening
expansion.stage2.desc,,가게 2층을 사용할 수 있게 됩니다,Opens the second floor of the restaurant
expansion.stage3,,화장실 설치,Restroom Installation
expansion.stage3.desc,,2층에 손님용 화장실을 설치할 수 있게 됩니다,Unlocks restrooms for customers on the second floor
customer.regular,,일반 손님,Regular Customer
customer.test1,,테스트 손님 1,Test Customer 1
customer.dt.default,,드라이브 쓰루 손님,Drive Thru Customer
customer.blonde,,금발 여성,Blonde Woman
customer.boy,,남자아이,Boy
customer.littleGirl,,여자아이,Girl
customer.officeWorker,,회사원,Office Worker
customer.college,,대학생,College Student
customer.police,,경찰,Police Officer
customer.rapper,,래퍼,Rapper
customer.rich,,부자,Rich Man
staff.role.cook,,요리사,Cook
staff.role.server,,서버,Server
staff.role.rider,,라이더,Rider
staff.grade.junior,,주니어,Junior
staff.grade.senior,,시니어,Senior
staff.grade.manager,,매니저,Manager
recruitment.normal,,일반 모집권,Normal Recruitment
recruitment.normal.desc,,신입 위주의 후보가 도착합니다,Mostly junior applicants
recruitment.high,,고급 모집권,High Recruitment
recruitment.high.desc,,경력자 비중이 높은 후보가 도착합니다,Mostly senior applicants
recruitment.rare,,희귀 모집권,Rare Recruitment
recruitment.rare.desc,,매니저급이 등장할 수 있습니다,Manager-grade candidates possible
ui.staff.title,,직원,Staff
ui.staff.hireMenu,,직원모집하기,Hire Staff
ui.recruit.title,,모집,Recruit
ui.recruit.empty,,직원 모집을 해주세요!,Please recruit staff!
ui.recruit.pendingFormat,,{0}달 후에 직원 고용이 가능합니다!,Staff hiring available in {0} months
ui.recruit.candidateCount,,직원 선택 {0}/{1},Candidates {0}/{1}
ui.settlement.title,,정산,Settlement
ui.settlement.material,,재료비,Material Cost
ui.settlement.staffSalary,,직원월급,Staff Salary
ui.settlement.rent,,임대료,Rent
ui.settlement.total,,총합,Total
ui.ranking.titleFormat,,{0}년차 결산,Year {0} Results
ui.ranking.annualRevenue,,연매출,Annual Revenue
ui.ranking.customerReputation,,손님평판,Customer Reputation
ui.shop.tab.food,,음식,Food
ui.shop.tab.furniture,,가구,Furniture
ui.shop.tab.expansion,,맵 확장,Map Expansion
ui.shop.empty.unlock,,가능한 해금이 없습니다,No available unlocks
ui.placement.confirmAction,,확정,Confirm
ui.marketing.applyAction,,마케팅 적용,Apply Marketing
ui.zone.delivery,,배달존,Delivery Zone
ui.startscene.texttmp,,새 게임,New Game
ui.startscene.texttmp2,,이어하기,Continue
ui.startscene.texttmp3,,설정,Settings
ui.startscene.texttmp4,,경고,Warning
ui.startscene.texttmp5,,확인,Confirm
ui.startscene.texttmp1,,새 게임 시작시 기존에 저장된 게임은 삭제됩니다 그래도 하시겠습니까?,Starting a new game will delete your existing save. Continue anyway?
